id	label	reason	evidence	queue	priority_score	organism	n_files_total	n_raw	raw_extensions	acquisition_mode	quant_mode	instruments	has_pride_metadata_file	has_deposited_sdrf	metadata_filenames	design_complexity	estimated_sdrf_rows	templates	publication	already_annotated	notes
PXD068387	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD068387; files/all n=4	Q3	6	Mus musculus (mouse)	4	0		DIA	LFQ	timsTOF HT	yes	no	experimental_design.txt	simple	0	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	2 archive(s); inspect the FTP listing before annotating
PXD069877	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD069877; files/all n=17	Q3	6	Homo sapiens (human);Mus musculus (mouse)	17	0		DIA	LFQ	timsUltra AIP	yes	no	DIANN_fig3.rar;DIANN_fig1.rar;Fig2_DIANN.tar	simple	0	ms-proteomics;dia-acquisition	none_in_pride	no	7 archive(s); inspect the FTP listing before annotating
PXD070471	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD070471; files/all n=8	Q3	6	Homo sapiens (human)	8	0		DIA	LFQ	timsTOF SCP	yes	no	ORLANDO_PRIDESUBMISSION_METADATA_SCP.xlsx	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	3 archive(s); inspect the FTP listing before annotating
PXD070528	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD070528; files/all n=5	Q3	6	Homo sapiens (human)	5	0		DIA	LFQ	timsTOF Pro 2	yes	no	4540-samples.zip	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	2 archive(s); inspect the FTP listing before annotating
PXD071819	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD071819; files/all n=16	Q3	6	Homo sapiens (human)	16	0		DIA	LFQ	timsTOF Ultra 2	yes	no	3_Condition_DIANN_results.zip;2_SCP_DIANN_results.zip;1_HYE_DIA_DIANN_results.zip	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	14 archive(s); inspect the FTP listing before annotating
PXD072113	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD072113; files/all n=50	Q3	6	Mus musculus (mouse)	50	0		DIA	LFQ	ZenoTOF 7600	yes	no	50-0176_PRIDE_metadata.xlsx;50-0176_DIANN_Output.7z	simple	0	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	46 archive(s); inspect the FTP listing before annotating
PXD073554	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD073554; files/all n=26	Q3	6	Bacteria;Faecalibacterium prausnitzii a2-165	26	0		DIA	LFQ	timsTOF Pro	yes	no	Metadata.ods	simple	0	ms-proteomics;dia-acquisition	none_in_pride	no	8 archive(s); inspect the FTP listing before annotating
PXD073620	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD073620; files/all n=8	Q3	6	Mus musculus (mouse)	8	0		DIA	LFQ	timsTOF Pro 2	yes	no	sample_list.xlsx;DIANN_output.7z	simple	0	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	6 archive(s); inspect the FTP listing before annotating
PXD073688	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD073688; files/all n=6	Q3	6	Mus musculus (mouse)	6	0		DIA	LFQ	timsUltra AIP	yes	no	metadata.xlsx	simple	0	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	2 archive(s); inspect the FTP listing before annotating
PXD073779	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD073779; files/all n=22	Q3	6	Salinibacter ruber dsm 13855;Ligilactobacillus murinus dsm 20452 = nbrc 14221;Homo sapiens (human)	22	0		DIA	LFQ	timsTOF Ultra 2	yes	no	metadata.xlsx	simple	0	ms-proteomics;dia-acquisition	none_in_pride	no	2 archive(s); inspect the FTP listing before annotating
PXD073801	hold	Neither acquisition nor quantitation mode could be determined	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD073801; files/all n=12	Q3	6	Drosophila melanogaster (fruit fly)	12	9	raw	unknown	unknown	Orbitrap Eclipse	no	no	checksum.txt	simple	9	ms-proteomics;invertebrates	none_in_pride	no	
PXD074603	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD074603; files/all n=13	Q3	6	Sus scrofa domesticus (domestic pig)	13	0		DIA	LFQ	TripleTOF 5600	yes	no	Gene_ontology_annotation.tsv	simple	0	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	6 archive(s); inspect the FTP listing before annotating
PXD074776	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD074776; files/all n=6	Q3	6	Carollia perspicillata;Mus musculus (mouse)	6	0		DDA	LFQ	timsTOF Ultra 2	yes	no	mqpar.xml;sample_names.txt	simple	0	ms-proteomics	none_in_pride	no	2 archive(s); inspect the FTP listing before annotating
PXD075099	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD075099; files/all n=10	Q3	6	Escherichia coli;Bacteria	10	0		DIA	LFQ	ZenoTOF 7600	yes	no	PCF000100_DIA-NN_output_and_imputed_matrix.xlsx;PCF000101_DIA-NN_output_and_imputed_matrix.xlsx;PCF000045_DIA-NN_output_and_imputed_matrix.xlsx	simple	0	ms-proteomics;dia-acquisition	none_in_pride	no	3 archive(s); inspect the FTP listing before annotating
PXD076251	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD076251; files/all n=25	Q3	6	Homo sapiens (human)	25	0		DDA	LFQ	timsTOF Pro	yes	no	mqpar.xml;Sample_documentation.docx	simple	0	ms-proteomics;human	none_in_pride	no	15 archive(s); inspect the FTP listing before annotating
