accession	tier	evidence_fields	publicationDate	doi	raw_file_count	selected_raw_count	selection_mode	local_status_before	draft_status	title	note
PXD059507	description-hit	projectDescription|sampleProcessingProtocol	2026-03-12		16			missing	catalog_only	Identification of RSRC2 interactome through Immunoprecipitation (IP) coupled with LC-MS/MS-based protein analysis	
PXD059512	description-hit	projectDescription|sampleProcessingProtocol	2026-03-12		16			missing	catalog_only	Identification of RSRC2 interactome changes by immunoprecipitation (IP) coupled with MS in C1QTNF1-AS1-depleted cells	
PXD069069	description-hit	projectDescription|sampleProcessingProtocol	2025-12-15		15			missing	catalog_only	Interactome analysis of Dap20-linked diUb	
PXD024582	description-hit	projectDescription	2022-08-12	10.6019/PXD024582	12			missing	catalog_only	Identification of alpha-satellite RNA interacting proteins	
PXD029076	description-hit	projectDescription	2022-12-21		12			missing	catalog_only	Antioxidant, Immunomodulatory and Potential Anticancer Capacity of Polysaccharides (Glucans) from Euglena gracilis G.A. Klebs	
PXD044867	description-hit	projectDescription|sampleProcessingProtocol	2024-05-22	10.6019/PXD044867	12			missing	catalog_only	DEAD box RNA helicase 5 and 17 are novel host factors for Sindbis virus infection.	
PXD043367	description-hit	projectDescription|sampleProcessingProtocol|keywords	2024-01-02		10			missing	catalog_only	The chromatin associated lncREST interacts with the replication fork to ensure effective replication stress response	
PXD044643	description-hit	projectDescription|sampleProcessingProtocol	2023-12-27		10			missing	catalog_only	Targeted RNase H-mediated Extraction of crosslinked RBPs (TREX) for assessing U1 RNA interactome	
PXD041975	description-hit	projectDescription|sampleProcessingProtocol	2023-05-04		9			missing	catalog_only	Identification of the protein interaction network of STAG2 protein isoforms with inclusion and exclusion of exon32	
PXD045385	description-hit	projectDescription|sampleProcessingProtocol	2023-12-27		8			missing	catalog_only	Targeted RNase H-mediated Extraction of crosslinked RBPs (TREX) for assessing region-specific NORAD lncRNA interactome	
PXD044543	description-hit	projectDescription	2023-09-02		6			missing	catalog_only	A small molecule targeting NMHC IIA phosphorylation exerts promising anti-tumor effects on colorectal cancer	
PXD045843	description-hit	projectDescription	2024-04-18		6			missing	catalog_only	Allele-specific iChIP-SILAC analysis to identify proteins binding to the p16INK4A gene	
PXD059546	description-hit	projectDescription|sampleProcessingProtocol	2026-03-12		6			missing	catalog_only	RNA antisense oligonucleotide pulldown coupled with mass spectrometry (MS) to identify C1QTNF1-AS1 protein interactors	
PXD063521	description-hit	projectDescription|sampleProcessingProtocol	2025-06-03		6			missing	catalog_only	Interactome analysis of GST-UFD1-NBM	
PXD066134	description-hit	projectDescription|sampleProcessingProtocol	2025-08-18		6			missing	catalog_only	Interactome of Ub-GFP and Ub-GFP-tail	
PXD040466	description-hit	projectDescription	2023-05-10		4			missing	catalog_only	Identification of NEDD8 sites at endogenous levels of NEDD8 expression upon NEDP1 (SENP8, DEN1) knockout.	
PXD056026	description-hit	projectDescription	2024-09-24		4			missing	catalog_only	Cellline-derived Extracelluar Vesicles Proteomics	
PXD043664	description-hit	projectDescription|sampleProcessingProtocol	2024-12-12		2			missing	catalog_only	KAT7 interaction in response to DNA damage LC-MS/MS analysis	
PXD040361	description-hit	projectDescription|sampleProcessingProtocol	2024-08-02		1			missing	catalog_only	Accessory ESCRT-III proteins are conserved and selective regulators of Rab11a-exosome formation	
PXD043707	description-hit	projectDescription|sampleProcessingProtocol	2024-12-12		1			missing	catalog_only	KAT7 modification in response to DNA damage LC-MS/MS analysis	
PXD033636	description-hit	projectDescription	2022-10-15		0			missing	catalog_only	Analysis of of the ole of NOMO1 in early-onset colorectal cancer (EOCRC)	
PXD040524	description-hit	projectDescription|keywords	2023-12-22		0			missing	catalog_only	Pooled CRISPR Screening Identifies P-Bodies as Repressors of Cancer Epithelial-Mesenchymal Transition	
PXD047258	description-hit	projectDescription|sampleProcessingProtocol	2024-05-22		0			missing	catalog_only	Crotonylomics sequencing of human colon cancer cell lines	
PXD050961	description-hit	projectDescription|sampleProcessingProtocol|keywords	2025-03-11		0			missing	catalog_only	Spike-in enhanced phosphoproteomics uncovers synergistic signaling responses to MEK inhibition in colon cancer cells	
PXD071641	description-hit	projectDescription|sampleProcessingProtocol|dataProcessingProtocol	2026-03-16		0			missing	catalog_only	Epithelial-mesenchymal transition shapes the lipotoxic response of colon cancer cells to palmitic acid	
PXD037009	protocol-only	sampleProcessingProtocol	2024-04-15		967			missing	catalog_only	Global, site-resolved analysis of ubiquitylation occupancy and turnover rate reveals systems properties	
PXD026750	protocol-only	sampleProcessingProtocol	2023-01-05		832			missing	catalog_only	A reference database of electrophoretic migration patterns for human proteins in a set of cell lines.	
PXD005086	protocol-only	sampleProcessingProtocol	2018-11-06		741			missing	catalog_only	Ascending colon biopsies from pediatric patients	
PXD065795	protocol-only	sampleProcessingProtocol	2025-10-02		671			missing	catalog_only	Proteomic Sensors for Quantitative, Multiplexed, and Spatial Monitoring of Kinase Signaling	
PXD006383	protocol-only	sampleProcessingProtocol	2018-03-19		448			missing	catalog_only	Human colon aspirate proteins analyzed by LC-MSMS	
PXD016464	protocol-only	keywords	2019-12-04		356			missing	catalog_only	Data Set: Extensive Rewiring of the EGFR Network in Colorectal Cancer Cells Expressing Transforming Levels of KRASG13D	
PXD016505	protocol-only	keywords	2019-12-02		350			missing	catalog_only	Extensive Rewiring of the EGFR Network in Colorectal Cancer Cells Expressing Transforming Levels of KRASG13D	
PXD038947	protocol-only	sampleProcessingProtocol	2023-05-18		324			missing	catalog_only	Hybrid-DIA: Intelligent Data Acquisition for Simultaneous Targeted and Discovery Phosphoproteomics in Single Spheroids	
PXD016512	protocol-only	keywords	2019-12-03		279			missing	catalog_only	: Extensive Rewiring of the EGFR Network in Colorectal Cancer Cells Expressing Transforming Levels of KRASG13D	
PXD043111	protocol-only	sampleProcessingProtocol	2024-04-23		194			missing	catalog_only	Kinase activities in pancreatic ductal adenocarcinoma with prognostic and therapeutic avenues	
PXD016463	protocol-only	keywords	2019-12-03		156			missing	catalog_only	Data Set3: Extensive Rewiring of the EGFR Network in Colorectal Cancer Cells Expressing Transforming Levels of KRASG13D	
PXD002882	protocol-only	sampleProcessingProtocol	2016-09-29		147			missing	catalog_only	Altered Intestinal Microbiota-Host Mitochondria Crosstalk in New Onset Crohn’s Disease	
PXD000690	protocol-only	sampleProcessingProtocol	2022-02-22		146			missing	catalog_only	Altered microbiota-host mutualism and bloom of Atopobium define severe pediatric Crohn's disease	
PXD058868	protocol-only	sampleProcessingProtocol	2025-11-10		144			missing	catalog_only	N-terminome analysis of HeLa cells with UPR stress	
PXD057034	protocol-only	keywords	2025-01-03		111			missing	catalog_only	Human zinc binding cysteine proteome	
PXD046360	protocol-only	sampleProcessingProtocol	2024-08-15		96			missing	catalog_only	Changes in the tumor microenvironment mark transition from serous borderline tumor to low grade serous carcinoma	
PXD014369	protocol-only	sampleProcessingProtocol	2020-03-19		92			missing	catalog_only	TMTpro16plex Isobaric Labeling Reagents: Attaining New Sample Multiplexing Heights and New Cellular Proteome Depths in Quantitative Proteomics	
PXD020914	protocol-only	sampleProcessingProtocol	2020-08-17		88			missing	catalog_only	Functional analysis of the replication fork proteome identifies BET proteins as PCNA regulators	
PXD051072	protocol-only	sampleProcessingProtocol	2024-04-12		76			missing	catalog_only	Inserting Pre-Analytical Chromatographic Priming Runs Significantly Improves Targeted Pathway Proteomics With Sample Multiplexing	
PXD043514	protocol-only	sampleProcessingProtocol	2024-01-26		64			missing	catalog_only	Candidate biomarkers for treatment benefit from sunitinib in patients with advanced renal cell carcinoma using mass spectrometry-based (phospho)proteomics	
PXD045761	protocol-only	sampleProcessingProtocol	2024-11-13		59			missing	catalog_only	Identification of phosphorylation sites in human IGF2BP1 by immunoprecipitation coupled to mass spectrometry	
