accession	tier	evidence_fields	publicationDate	doi	raw_file_count	selected_raw_count	selection_mode	local_status_before	draft_status	title	note
PXD052031	protocol-only	sampleProcessingProtocol	2024-11-21		54			missing	catalog_only	Targeting ERAP enhances anti-tumor immunity by disrupting the NKG2A/HLA-E inhibitory checkpoint	
PXD043638	protocol-only	sampleProcessingProtocol	2024-05-23		51			missing	catalog_only	Restrictor synergizes with Symplekin and PNUTS to terminate extragenic transcription	
PXD016465	protocol-only	keywords	2019-12-02		49			missing	catalog_only	Extensive Rewiring of the EGFR Network in Colorectal Cancer Cells Expressing Transforming Levels of KRASG13D	
PXD016462	protocol-only	keywords	2019-12-02		48			missing	catalog_only	Data Set3: Extensive Rewiring of the EGFR Network in Colorectal Cancer Cells Expressing Transforming Levels of KRASG13D	
PXD016827	protocol-only	sampleProcessingProtocol	2020-03-05		48			missing	catalog_only	Novel Conformation Specific Inhibitors of Activated GTPases reveal Ras-dependency of Patient-Derived Cancer Organoids	
PXD060045	protocol-only	sampleProcessingProtocol	2025-09-15		48			missing	catalog_only	Pharmacological Targeting of DHHC9-Mediated STRN4 Palmitoylation to Suppress YAP-Driven Cancer Metastasis	
PXD065168	protocol-only	sampleProcessingProtocol	2025-09-11	10.6019/PXD065168	46			missing	catalog_only	Ubiquitination of a small molecule	
PXD012805	protocol-only	sampleProcessingProtocol	2020-05-26		40			missing	catalog_only	Diverse Compounds from Pleuromutilin Lead to a Thioredoxin Inhibitor and Inducer of Ferroptosis	
PXD031451	protocol-only	sampleProcessingProtocol|keywords	2022-09-26	10.6019/PXD031451	40			missing	catalog_only	Immunopeptidomics-based design of highly effective mRNA vaccine formulations against Listeria monocytogenes	
PXD050981	protocol-only	sampleProcessingProtocol	2025-07-21		32			missing	catalog_only	Function of the histone N-terminal acetyltransferase Naa40 in DNA damage response	
PXD038958	protocol-only	sampleProcessingProtocol	2024-08-09		30			missing	catalog_only	Spatial SILAC Regorafenib Treated Bottom-up Proteomic Analysis	
PXD061298	protocol-only	sampleProcessingProtocol	2026-01-06	10.6019/PXD061298	30			missing	catalog_only	Co-translational determination of quaternary structures in chaperone factories	
PXD059885	protocol-only	sampleProcessingProtocol	2025-08-11	10.6019/PXD059885	27			missing	catalog_only	SILAC-Based Characterization of Plasma-Derived Extracellular Vesicles in Patients Undergoing Partial Hepatectomy	
PXD016461	protocol-only	keywords	2019-12-03		24			missing	catalog_only	Data Set2: Extensive Rewiring of the EGFR Network in Colorectal Cancer Cells Expressing Transforming Levels of KRASG13D	
PXD016491	protocol-only	sampleProcessingProtocol	2020-03-19		24			missing	catalog_only	TMTpro16plex Isobaric Labeling Reagents: Attaining New Sample Multiplexing Heights and New Cellular Proteome Depths in Quantitative Proteomics	
PXD016940	protocol-only	sampleProcessingProtocol	2020-03-19		24			missing	catalog_only	TMTpro16plex Isobaric Labeling Reagents: Attaining New Sample Multiplexing Heights and New Cellular Proteome Depths in Quantitative Proteomics	
PXD049120	protocol-only	sampleProcessingProtocol	2025-01-14		24			missing	catalog_only	Proteogenomic analysis reveals adaptive strategies to alleviate the consequences of aneuploidy in cancer. Dataset 1	
PXD053243	protocol-only	sampleProcessingProtocol	2026-04-05	10.6019/PXD053243	24			missing	catalog_only	Highly-specific intracellular ubiquitination of a small molecule	
PXD063024	protocol-only	sampleProcessingProtocol	2025-05-26		18			missing	catalog_only	MEK-PARP co-targeting enhances radiation response in rectal cancer.	
PXD066132	protocol-only	sampleProcessingProtocol	2025-08-18		18			missing	catalog_only	Proteome changes upon knockdown of ubiquitin E3 ligases	
PXD037513	protocol-only	sampleProcessingProtocol	2024-04-13		17			missing	catalog_only	Ki-67 is necessary during DNA replication for forks protection and genome stability	
PXD045229	protocol-only	sampleProcessingProtocol	2024-01-26		17			missing	catalog_only	A chromatin re-localization screen for the identification of Poly-ADP-ribosylation (PARylation)-dependent DNA repair factors.	
PXD012119	protocol-only	sampleProcessingProtocol	2022-02-23		16			missing	catalog_only	PRMT7 substrates	
PXD056341	protocol-only	sampleProcessingProtocol	2025-03-20		16			missing	catalog_only	A Molecular Glue of RBM39 and DCAF15 Arrests Cell Cycle Progression by Downregulation of CEP192	
PXD002793	protocol-only	sampleProcessingProtocol	2015-10-14		14			missing	catalog_only	Tumor selective proteotoxicity of verteporfin inhibits colon cancer progression independent of YAP1	
PXD036593	protocol-only	sampleProcessingProtocol	2023-06-27		12			missing	catalog_only	In vitro characterization of caspase-3 cleavage sites by LATE and HYATNE	
PXD036648	protocol-only	sampleProcessingProtocol	2023-06-27		12			missing	catalog_only	Cell-based characterization of caspase-3 cleavage sites by LATE and HYATNE	
PXD053068	protocol-only	sampleProcessingProtocol	2025-05-07	10.6019/PXD053068	10			missing	catalog_only	mTORC2-driven chromatin cGAS mediates chemoresistance in colorectal cancer	
PXD063684	protocol-only	sampleProcessingProtocol	2026-02-09		10			missing	catalog_only	TMT-based proteomics analysis identifies RPLP1 as a key protein target in ursolic acid inhibition of colorectal cancer	
PXD056505	protocol-only	sampleProcessingProtocol	2026-02-09		9			missing	catalog_only	Widespread cancer relevant splicing events driven by the pRb-E2F pathway	
PXD069264	protocol-only	sampleProcessingProtocol	2026-03-09		8			missing	catalog_only	Dynamic translocation of Inside-Out proteins to the cell surface underlies cellular adaptation to cancer-induced stress.	
PXD032902	protocol-only	sampleProcessingProtocol	2022-08-12		6			missing	catalog_only	Combining recombinase-mediated cassette exchange strategy with quantitative proteomic and phosphoproteomic analyses to inspect intracellular functions of the tumor supressor galectin-4 in colorectal cancer cells.	
